Name,Brand,Category,SubCategory,Price,DiscountedPrice,Discount_Amount,Discount_Pct,Price_Band,Qty_Value,Qty_Unit,Standard_Qty,Origin,BreadCrumbs
Premia Badam (Almonds),Premia,Grocery,Dry Fruits,451.0,329.0,122.0,27.05,Upper-Mid (300-700),500.0,g,500.0,India,Grocery > Grocery/Dry Fruits
Premia Badam (Almonds),Premia,Grocery,Dry Fruits,109.0,85.0,24.0,22.02,Budget (<100),100.0,g,100.0,India,Grocery > Grocery/Dry Fruits
Premia Badam (Almonds),Premia,Grocery,Dry Fruits,202.0,175.0,27.0,13.37,Mid (100-300),200.0,g,200.0,India,Grocery > Grocery/Dry Fruits
Nutraj California Almonds (Badam),Nutraj,Grocery,Dry Fruits,599.0,349.0,250.0,41.74,Upper-Mid (300-700),500.0,g,500.0,USA,Grocery > Dry Fruits
Nutraj California Almonds (Badam),Nutraj,Grocery,Dry Fruits,1549.0,659.0,890.0,57.46,Upper-Mid (300-700),1.0,kg,1000.0,USA,Grocery > Dry Fruits
Chana Dal,Unbranded/DMart,Grocery,Dals,49.0,42.0,7.0,14.29,Budget (<100),500.0,g,500.0,India,Grocery > Dals
Chana Dal,Unbranded/DMart,Grocery,Dals,96.0,80.0,16.0,16.67,Budget (<100),1.0,kg,1000.0,India,Grocery > Dals
Rajma White,Unbranded/DMart,Grocery,Pulses,112.0,102.0,10.0,8.93,Mid (100-300),500.0,g,500.0,India,Grocery > Pulses
Rajma Kashmiri Red,Unbranded/DMart,Grocery,Pulses,101.0,81.0,20.0,19.8,Budget (<100),500.0,g,500.0,India,Grocery > Pulses
Premia Mamra Badam,Premia,Grocery,Dry Fruits,634.0,488.0,146.0,23.03,Upper-Mid (300-700),200.0,g,200.0,India,Grocery > Dry Fruits
Tata Sampann Chana Dal,Tata,Grocery,Dals,64.0,49.0,15.0,23.44,Budget (<100),500.0,g,500.0,Not Specified,Grocery > Dals
Tata Sampann Chana Dal,Tata,Grocery,Dals,125.0,112.0,13.0,10.4,Mid (100-300),1.0,kg,1000.0,Not Specified,Grocery > Dals
Rajma Red Small,Unbranded/DMart,Grocery,Pulses,61.0,56.0,5.0,8.2,Budget (<100),500.0,g,500.0,India,Grocery > Pulses
Nutraj Almond,Nutraj,Grocery,Dry Fruits,299.0,175.0,124.0,41.47,Mid (100-300),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
Satyam Rajma Pink,Satyam,Grocery,Pulses,149.0,138.0,11.0,7.38,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
KMK Almond Mamra (Badam),KMK,Grocery,Dry Fruits,750.0,575.0,175.0,23.33,Upper-Mid (300-700),200.0,g,200.0,Not Specified,Grocery > Dry Fruits
DMart Healthy Choice Unpolished Chana Dal,DMart Healthy Choice,Grocery,Dals,117.0,94.0,23.0,19.66,Budget (<100),1.0,kg,1000.0,Not Specified,Grocery > Dals
Satyam Rajma Sharmili,Satyam,Grocery,Pulses,129.0,119.0,10.0,7.75,Mid (100-300),500.0,g,500.0,Not Specified,Grocery > Pulses
